Region,Comuna,Anio,Semana,Categoria,Casos,Casos_previos_anio,Variacion_porcentual
Arica y Parinacota,Arica,2024,5,Daños,30,20,50
Arica y Parinacota,Arica,2024,6,Amenazas y Riñas,34,39,-12.82
Arica y Parinacota,Arica,2024,6,Homicidios y Femicidios,24,29,-17.24
Arica y Parinacota,Arica,2024,6,Robos con Violencia e Intimidación,37,34,8.82
Arica y Parinacota,Arica,2024,6,Violaciones y Delitos Sexuales,32,41,-21.95
Arica y Parinacota,Arica,2024,6,Ley de Control de Armas,49,52,-5.77
Arica y Parinacota,Arica,2024,6,Delitos en Contexto de Violencia Intrafamiliar,36,46,-21.74
Arica y Parinacota,Arica,2024,6,Consumo de Alcohol y Drogas en la Vía Pública,24,22,9.09
Arica y Parinacota,Arica,2024,6,Hurtos,39,45,-13.33
Arica y Parinacota,Arica,2024,6,Daños,27,28,-3.57
Arica y Parinacota,Arica,2024,7,Amenazas y Riñas,45,54,-16.67
Arica y Parinacota,Arica,2024,7,Homicidios y Femicidios,10,4,150
Arica y Parinacota,Arica,2024,7,Robos con Violencia e Intimidación,2,9,-77.78
Arica y Parinacota,Arica,2024,7,Violaciones y Delitos Sexuales,16,23,-30.43
Arica y Parinacota,Arica,2024,7,Ley de Control de Armas,4,12,-66.67
Arica y Parinacota,Arica,2024,7,Delitos en Contexto de Violencia Intrafamiliar,14,19,-26.32
Arica y Parinacota,Arica,2024,7,Consumo de Alcohol y Drogas en la Vía Pública,49,59,-16.95
Arica y Parinacota,Arica,2024,7,Hurtos,49,55,-10.91
Arica y Parinacota,Arica,2024,7,Daños,33,33,0
Arica y Parinacota,Arica,2024,8,Amenazas y Riñas,2,0,
Arica y Parinacota,Arica,2024,8,Homicidios y Femicidios,43,39,10.26
Arica y Parinacota,Arica,2024,8,Robos con Violencia e Intimidación,16,15,6.67
Arica y Parinacota,Arica,2024,8,Violaciones y Delitos Sexuales,43,45,-4.44
Arica y Parinacota,Arica,2024,8,Ley de Control de Armas,38,36,5.56
Arica y Parinacota,Arica,2024,8,Delitos en Contexto de Violencia Intrafamiliar,10,7,42.86
Arica y Parinacota,Arica,2024,8,Consumo de Alcohol y Drogas en la Vía Pública,5,4,25
Arica y Parinacota,Arica,2024,8,Hurtos,0,10,-100
Arica y Parinacota,Arica,2024,8,Daños,44,39,12.82
Arica y Parinacota,Arica,2024,9,Amenazas y Riñas,49,49,0
Arica y Parinacota,Arica,2024,9,Homicidios y Femicidios,9,10,-10
Arica y Parinacota,Arica,2024,9,Robos con Violencia e Intimidación,32,31,3.23
Arica y Parinacota,Arica,2024,9,Violaciones y Delitos Sexuales,50,41,21.95
Arica y Parinacota,Arica,2024,9,Ley de Control de Armas,7,4,75
Arica y Parinacota,Arica,2024,9,Delitos en Contexto de Violencia Intrafamiliar,4,5,-20
Arica y Parinacota,Arica,2024,9,Consumo de Alcohol y Drogas en la Vía Pública,9,0,
Arica y Parinacota,Arica,2024,9,Hurtos,2,4,-50
Arica y Parinacota,Arica,2024,9,Daños,26,23,13.04
Arica y Parinacota,Arica,2024,10,Amenazas y Riñas,45,55,-18.18
Arica y Parinacota,Arica,2024,10,Homicidios y Femicidios,36,40,-10
Arica y Parinacota,Arica,2024,10,Robos con Violencia e Intimidación,25,28,-10.71
Arica y Parinacota,Arica,2024,10,Violaciones y Delitos Sexuales,27,23,17.39
Arica y Parinacota,Arica,2024,10,Ley de Control de Armas,11,2,450
Arica y Parinacota,Arica,2024,10,Delitos en Contexto de Violencia Intrafamiliar,1,0,
Arica y Parinacota,Arica,2024,10,Consumo de Alcohol y Drogas en la Vía Pública,33,26,26.92
Arica y Parinacota,Arica,2024,10,Hurtos,19,12,58.33
Arica y Parinacota,Arica,2024,10,Daños,11,8,37.5
Arica y Parinacota,Arica,2024,11,Amenazas y Riñas,39,45,-13.33
Arica y Parinacota,Arica,2024,11,Homicidios y Femicidios,3,6,-50
Arica y Parinacota,Arica,2024,11,Robos con Violencia e Intimidación,14,17,-17.65
Arica y Parinacota,Arica,2024,11,Violaciones y Delitos Sexuales,33,27,22.22
Arica y Parinacota,Arica,2024,11,Ley de Control de Armas,15,13,15.38
Arica y Parinacota,Arica,2024,11,Delitos en Contexto de Violencia Intrafamiliar,1,0,
Arica y Parinacota,Arica,2024,11,Consumo de Alcohol y Drogas en la Vía Pública,15,7,114.29
Arica y Parinacota,Arica,2024,11,Hurtos,17,8,112.5
Arica y Parinacota,Arica,2024,11,Daños,47,51,-7.84
Arica y Parinacota,Arica,2024,12,Amenazas y Riñas,44,44,0
Arica y Parinacota,Arica,2024,12,Homicidios y Femicidios,45,38,18.42
Arica y Parinacota,Arica,2024,12,Robos con Violencia e Intimidación,29,32,-9.38
Arica y Parinacota,Arica,2024,12,Violaciones y Delitos Sexuales,36,35,2.86
Arica y Parinacota,Arica,2024,12,Ley de Control de Armas,32,22,45.45
Arica y Parinacota,Arica,2024,12,Delitos en Contexto de Violencia Intrafamiliar,30,37,-18.92
Arica y Parinacota,Arica,2024,12,Consumo de Alcohol y Drogas en la Vía Pública,18,9,100
Arica y Parinacota,Arica,2024,12,Hurtos,46,44,4.55
Arica y Parinacota,Arica,2024,12,Daños,49,55,-10.91
Arica y Parinacota,Arica,2024,13,Amenazas y Riñas,23,31,-25.81
Arica y Parinacota,Arica,2024,13,Homicidios y Femicidios,44,42,4.76
Arica y Parinacota,Arica,2024,13,Robos con Violencia e Intimidación,10,11,-9.09
Arica y Parinacota,Arica,2024,13,Violaciones y Delitos Sexuales,26,34,-23.53
Arica y Parinacota,Arica,2024,13,Ley de Control de Armas,41,36,13.89
Arica y Parinacota,Arica,2024,13,Delitos en Contexto de Violencia Intrafamiliar,48,47,2.13
Arica y Parinacota,Arica,2024,13,Consumo de Alcohol y Drogas en la Vía Pública,40,44,-9.09
Arica y Parinacota,Arica,2024,13,Hurtos,12,14,-14.29
Arica y Parinacota,Arica,2024,13,Daños,3,7,-57.14
Arica y Parinacota,Arica,2024,14,Amenazas y Riñas,1,7,-85.71
Arica y Parinacota,Arica,2024,14,Homicidios y Femicidios,12,11,9.09
Arica y Parinacota,Arica,2024,14,Robos con Violencia e Intimidación,40,30,33.33
Arica y Parinacota,Arica,2024,14,Violaciones y Delitos Sexuales,32,29,10.34
Arica y Parinacota,Arica,2024,14,Ley de Control de Armas,20,18,11.11
Arica y Parinacota,Arica,2024,14,Delitos en Contexto de Violencia Intrafamiliar,49,47,4.26
Arica y Parinacota,Arica,2024,14,Consumo de Alcohol y Drogas en la Vía Pública,18,24,-25
Arica y Parinacota,Arica,2024,14,Hurtos,14,14,0
Arica y Parinacota,Arica,2024,14,Daños,28,22,27.27
Arica y Parinacota,Arica,2024,15,Amenazas y Riñas,22,27,-18.52
Arica y Parinacota,Arica,2024,15,Homicidios y Femicidios,37,44,-15.91
Arica y Parinacota,Arica,2024,15,Robos con Violencia e Intimidación,17,9,88.89
Arica y Parinacota,Arica,2024,15,Violaciones y Delitos Sexuales,41,45,-8.89
Arica y Parinacota,Arica,2024,15,Ley de Control de Armas,40,31,29.03
Arica y Parinacota,Arica,2024,15,Delitos en Contexto de Violencia Intrafamiliar,37,38,-2.63
Arica y Parinacota,Arica,2024,15,Consumo de Alcohol y Drogas en la Vía Pública,48,41,17.07
Arica y Parinacota,Arica,2024,15,Hurtos,42,40,5
Arica y Parinacota,Arica,2024,15,Daños,32,42,-23.81
Arica y Parinacota,Arica,2024,16,Amenazas y Riñas,44,40,10
Arica y Parinacota,Arica,2024,16,Homicidios y Femicidios,35,44,-20.45
Arica y Parinacota,Arica,2024,16,Robos con Violencia e Intimidación,18,16,12.5
Arica y Parinacota,Arica,2024,16,Violaciones y Delitos Sexuales,44,53,-16.98
Arica y Parinacota,Arica,2024,16,Ley de Control de Armas,1,8,-87.5
Arica y Parinacota,Arica,2024,16,Delitos en Contexto de Violencia Intrafamiliar,19,27,-29.63
Arica y Parinacota,Arica,2024,16,Consumo de Alcohol y Drogas en la Vía Pública,49,46,6.52
Arica y Parinacota,Arica,2024,16,Hurtos,27,30,-10
Arica y Parinacota,Arica,2024,16,Daños,46,53,-13.21
Arica y Parinacota,Arica,2024,17,Amenazas y Riñas,26,19,36.84
Arica y Parinacota,Arica,2024,17,Homicidios y Femicidios,21,14,50
Arica y Parinacota,Arica,2024,17,Robos con Violencia e Intimidación,22,17,29.41
Arica y Parinacota,Arica,2024,17,Violaciones y Delitos Sexuales,46,51,-9.8
Arica y Parinacota,Arica,2024,17,Ley de Control de Armas,20,11,81.82
Arica y Parinacota,Arica,2024,17,Delitos en Contexto de Violencia Intrafamiliar,34,44,-22.73
Arica y Parinacota,Arica,2024,17,Consumo de Alcohol y Drogas en la Vía Pública,3,11,-72.73
Arica y Parinacota,Arica,2024,17,Hurtos,43,37,16.22
Arica y Parinacota,Arica,2024,17,Daños,19,18,5.56
Arica y Parinacota,Arica,2024,18,Amenazas y Riñas,29,32,-9.38
Arica y Parinacota,Arica,2024,18,Homicidios y Femicidios,15,20,-25
Arica y Parinacota,Arica,2024,18,Robos con Violencia e Intimidación,13,14,-7.14
Arica y Parinacota,Arica,2024,18,Violaciones y Delitos Sexuales,1,0,
Arica y Parinacota,Arica,2024,18,Ley de Control de Armas,22,31,-29.03
Arica y Parinacota,Arica,2024,18,Delitos en Contexto de Violencia Intrafamiliar,11,5,120
Arica y Parinacota,Arica,2024,18,Consumo de Alcohol y Drogas en la Vía Pública,2,0,
Arica y Parinacota,Arica,2024,18,Hurtos,7,0,
Arica y Parinacota,Arica,2024,18,Daños,26,20,30
Arica y Parinacota,Arica,2024,19,Amenazas y Riñas,37,37,0
Arica y Parinacota,Arica,2024,19,Homicidios y Femicidios,30,23,30.43
Arica y Parinacota,Arica,2024,19,Robos con Violencia e Intimidación,7,14,-50
Arica y Parinacota,Arica,2024,19,Violaciones y Delitos Sexuales,23,32,-28.12
Arica y Parinacota,Arica,2024,19,Ley de Control de Armas,4,3,33.33
Arica y Parinacota,Arica,2024,19,Delitos en Contexto de Violencia Intrafamiliar,29,31,-6.45
Arica y Parinacota,Arica,2024,19,Consumo de Alcohol y Drogas en la Vía Pública,4,11,-63.64
Arica y Parinacota,Arica,2024,19,Hurtos,22,14,57.14
Arica y Parinacota,Arica,2024,19,Daños,2,10,-80
Arica y Parinacota,Arica,2024,20,Amenazas y Riñas,8,14,-42.86
Arica y Parinacota,Arica,2024,20,Homicidios y Femicidios,44,43,2.33
Arica y Parinacota,Arica,2024,20,Robos con Violencia e Intimidación,6,11,-45.45
Arica y Parinacota,Arica,2024,20,Violaciones y Delitos Sexuales,24,33,-27.27
Arica y Parinacota,Arica,2024,20,Ley de Control de Armas,46,40,15
Arica y Parinacota,Arica,2024,20,Delitos en Contexto de Violencia Intrafamiliar,15,25,-40
Arica y Parinacota,Arica,2024,20,Consumo de Alcohol y Drogas en la Vía Pública,41,37,10.81
Arica y Parinacota,Arica,2024,20,Hurtos,41,39,5.13
Arica y Parinacota,Arica,2024,20,Daños,9,12,-25
Arica y Parinacota,Arica,2024,21,Amenazas y Riñas,22,12,83.33
Arica y Parinacota,Arica,2024,21,Homicidios y Femicidios,17,25,-32
Arica y Parinacota,Arica,2024,21,Robos con Violencia e Intimidación,49,50,-2
Arica y Parinacota,Arica,2024,21,Violaciones y Delitos Sexuales,31,26,19.23
Arica y Parinacota,Arica,2024,21,Ley de Control de Armas,20,13,53.85
Arica y Parinacota,Arica,2024,21,Delitos en Contexto de Violencia Intrafamiliar,43,33,30.3
Arica y Parinacota,Arica,2024,21,Consumo de Alcohol y Drogas en la Vía Pública,19,10,90
Arica y Parinacota,Arica,2024,21,Hurtos,33,40,-17.5
Arica y Parinacota,Arica,2024,21,Daños,1,0,
Arica y Parinacota,Arica,2024,22,Amenazas y Riñas,5,11,-54.55
Arica y Parinacota,Arica,2024,22,Homicidios y Femicidios,37,38,-2.63
Arica y Parinacota,Arica,2024,22,Robos con Violencia e Intimidación,32,35,-8.57
Arica y Parinacota,Arica,2024,22,Violaciones y Delitos Sexuales,10,18,-44.44
Arica y Parinacota,Arica,2024,22,Ley de Control de Armas,34,40,-15
Arica y Parinacota,Arica,2024,22,Delitos en Contexto de Violencia Intrafamiliar,12,15,-20
Arica y Parinacota,Arica,2024,22,Consumo de Alcohol y Drogas en la Vía Pública,6,3,100
Arica y Parinacota,Arica,2024,22,Hurtos,39,39,0
Arica y Parinacota,Arica,2024,22,Daños,0,9,-100
Arica y Parinacota,Arica,2024,23,Amenazas y Riñas,18,17,5.88
Arica y Parinacota,Arica,2024,23,Homicidios y Femicidios,15,16,-6.25
Arica y Parinacota,Arica,2024,23,Robos con Violencia e Intimidación,9,1,800
Arica y Parinacota,Arica,2024,23,Violaciones y Delitos Sexuales,40,47,-14.89
Arica y Parinacota,Arica,2024,23,Ley de Control de Armas,39,42,-7.14
Arica y Parinacota,Arica,2024,23,Delitos en Contexto de Violencia Intrafamiliar,44,44,0
Arica y Parinacota,Arica,2024,23,Consumo de Alcohol y Drogas en la Vía Pública,9,0,
Arica y Parinacota,Arica,2024,23,Hurtos,2,0,
Arica y Parinacota,Arica,2024,23,Daños,40,45,-11.11
Arica y Parinacota,Arica,2024,24,Amenazas y Riñas,24,30,-20
Arica y Parinacota,Arica,2024,24,Homicidios y Femicidios,40,30,33.33
Arica y Parinacota,Arica,2024,24,Robos con Violencia e Intimidación,2,0,
Arica y Parinacota,Arica,2024,24,Violaciones y Delitos Sexuales,1,9,-88.89
Arica y Parinacota,Arica,2024,24,Ley de Control de Armas,27,22,22.73
Arica y Parinacota,Arica,2024,24,Delitos en Contexto de Violencia Intrafamiliar,11,14,-21.43
Arica y Parinacota,Arica,2024,24,Consumo de Alcohol y Drogas en la Vía Pública,2,0,
Arica y Parinacota,Arica,2024,24,Hurtos,16,21,-23.81
Arica y Parinacota,Arica,2024,24,Daños,8,7,14.29
Arica y Parinacota,Arica,2024,25,Amenazas y Riñas,47,43,9.3
Arica y Parinacota,Arica,2024,25,Homicidios y Femicidios,46,47,-2.13
Arica y Parinacota,Arica,2024,25,Robos con Violencia e Intimidación,50,45,11.11
Arica y Parinacota,Arica,2024,25,Violaciones y Delitos Sexuales,21,31,-32.26
Arica y Parinacota,Arica,2024,25,Ley de Control de Armas,26,30,-13.33
Arica y Parinacota,Arica,2024,25,Delitos en Contexto de Violencia Intrafamiliar,48,58,-17.24
Arica y Parinacota,Arica,2024,25,Consumo de Alcohol y Drogas en la Vía Pública,41,37,10.81
Arica y Parinacota,Arica,2024,25,Hurtos,44,41,7.32
Arica y Parinacota,Arica,2024,25,Daños,46,49,-6.12
Arica y Parinacota,Arica,2024,26,Amenazas y Riñas,47,53,-11.32
Arica y Parinacota,Arica,2024,26,Homicidios y Femicidios,4,3,33.33
Arica y Parinacota,Arica,2024,26,Robos con Violencia e Intimidación,40,48,-16.67
Arica y Parinacota,Arica,2024,26,Violaciones y Delitos Sexuales,38,34,11.76
Arica y Parinacota,Arica,2024,26,Ley de Control de Armas,28,24,16.67
Arica y Parinacota,Arica,2024,26,Delitos en Contexto de Violencia Intrafamiliar,30,27,11.11
Arica y Parinacota,Arica,2024,26,Consumo de Alcohol y Drogas en la Vía Pública,4,3,33.33
Arica y Parinacota,Arica,2024,26,Hurtos,30,37,-18.92
Arica y Parinacota,Arica,2024,26,Daños,11,17,-35.29
Arica y Parinacota,Arica,2024,27,Amenazas y Riñas,8,0,
Arica y Parinacota,Arica,2024,27,Homicidios y Femicidios,34,31,9.68
Arica y Parinacota,Arica,2024,27,Robos con Violencia e Intimidación,49,49,0
Arica y Parinacota,Arica,2024,27,Violaciones y Delitos Sexuales,43,49,-12.24
Arica y Parinacota,Arica,2024,27,Ley de Control de Armas,41,34,20.59
Arica y Parinacota,Arica,2024,27,Delitos en Contexto de Violencia Intrafamiliar,23,33,-30.3
Arica y Parinacota,Arica,2024,27,Consumo de Alcohol y Drogas en la Vía Pública,7,5,40
Arica y Parinacota,Arica,2024,27,Hurtos,39,39,0
Arica y Parinacota,Arica,2024,27,Daños,7,14,-50
Arica y Parinacota,Arica,2024,28,Amenazas y Riñas,28,23,21.74
Arica y Parinacota,Arica,2024,28,Homicidios y Femicidios,33,35,-5.71
Arica y Parinacota,Arica,2024,28,Robos con Violencia e Intimidación,44,48,-8.33
Arica y Parinacota,Arica,2024,28,Violaciones y Delitos Sexuales,36,33,9.09
Arica y Parinacota,Arica,2024,28,Ley de Control de Armas,29,31,-6.45
Arica y Parinacota,Arica,2024,28,Delitos en Contexto de Violencia Intrafamiliar,43,51,-15.69
Arica y Parinacota,Arica,2024,28,Consumo de Alcohol y Drogas en la Vía Pública,38,48,-20.83
Arica y Parinacota,Arica,2024,28,Hurtos,47,55,-14.55
Arica y Parinacota,Arica,2024,28,Daños,47,44,6.82
Arica y Parinacota,Arica,2024,29,Amenazas y Riñas,43,47,-8.51
Arica y Parinacota,Arica,2024,29,Homicidios y Femicidios,13,7,85.71
Arica y Parinacota,Arica,2024,29,Robos con Violencia e Intimidación,38,43,-11.63
Arica y Parinacota,Arica,2024,29,Violaciones y Delitos Sexuales,17,13,30.77
Arica y Parinacota,Arica,2024,29,Ley de Control de Armas,10,2,400
Arica y Parinacota,Arica,2024,29,Delitos en Contexto de Violencia Intrafamiliar,12,18,-33.33
Arica y Parinacota,Arica,2024,29,Consumo de Alcohol y Drogas en la Vía Pública,20,20,0
Arica y Parinacota,Arica,2024,29,Hurtos,20,27,-25.93
Arica y Parinacota,Arica,2024,29,Daños,4,14,-71.43
Arica y Parinacota,Arica,2024,30,Amenazas y Riñas,25,22,13.64
Arica y Parinacota,Arica,2024,30,Homicidios y Femicidios,27,37,-27.03
Arica y Parinacota,Arica,2024,30,Robos con Violencia e Intimidación,35,27,29.63
Arica y Parinacota,Arica,2024,30,Violaciones y Delitos Sexuales,34,38,-10.53
Arica y Parinacota,Arica,2024,30,Ley de Control de Armas,26,23,13.04
Arica y Parinacota,Arica,2024,30,Delitos en Contexto de Violencia Intrafamiliar,33,40,-17.5
Arica y Parinacota,Arica,2024,30,Consumo de Alcohol y Drogas en la Vía Pública,46,44,4.55
Arica y Parinacota,Arica,2024,30,Hurtos,46,48,-4.17
Arica y Parinacota,Arica,2024,30,Daños,14,17,-17.65
Arica y Parinacota,Arica,2024,31,Amenazas y Riñas,22,12,83.33
Arica y Parinacota,Arica,2024,31,Homicidios y Femicidios,9,12,-25
Arica y Parinacota,Arica,2024,31,Robos con Violencia e Intimidación,10,3,233.33
Arica y Parinacota,Arica,2024,31,Violaciones y Delitos Sexuales,18,27,-33.33
Arica y Parinacota,Arica,2024,31,Ley de Control de Armas,31,39,-20.51
Arica y Parinacota,Arica,2024,31,Delitos en Contexto de Violencia Intrafamiliar,33,28,17.86
Arica y Parinacota,Arica,2024,31,Consumo de Alcohol y Drogas en la Vía Pública,45,49,-8.16
Arica y Parinacota,Arica,2024,31,Hurtos,43,36,19.44
Arica y Parinacota,Arica,2024,31,Daños,27,25,8
Arica y Parinacota,Arica,2024,32,Amenazas y Riñas,42,43,-2.33
Arica y Parinacota,Arica,2024,32,Homicidios y Femicidios,29,27,7.41
Arica y Parinacota,Arica,2024,32,Robos con Violencia e Intimidación,20,23,-13.04
Arica y Parinacota,Arica,2024,32,Violaciones y Delitos Sexuales,1,4,-75
Arica y Parinacota,Arica,2024,32,Ley de Control de Armas,2,0,
Arica y Parinacota,Arica,2024,32,Delitos en Contexto de Violencia Intrafamiliar,6,15,-60
Arica y Parinacota,Arica,2024,32,Consumo de Alcohol y Drogas en la Vía Pública,5,0,
Arica y Parinacota,Arica,2024,32,Hurtos,25,35,-28.57
Arica y Parinacota,Arica,2024,32,Daños,6,13,-53.85
Arica y Parinacota,Arica,2024,33,Amenazas y Riñas,14,4,250
Arica y Parinacota,Arica,2024,33,Homicidios y Femicidios,19,15,26.67
Arica y Parinacota,Arica,2024,33,Robos con Violencia e Intimidación,40,35,14.29
Arica y Parinacota,Arica,2024,33,Violaciones y Delitos Sexuales,2,0,
Arica y Parinacota,Arica,2024,33,Ley de Control de Armas,32,40,-20
Arica y Parinacota,Arica,2024,33,Delitos en Contexto de Violencia Intrafamiliar,6,15,-60
Arica y Parinacota,Arica,2024,33,Consumo de Alcohol y Drogas en la Vía Pública,44,41,7.32
Arica y Parinacota,Arica,2024,33,Hurtos,10,3,233.33
Arica y Parinacota,Arica,2024,33,Daños,35,34,2.94
Arica y Parinacota,Arica,2024,34,Amenazas y Riñas,41,38,7.89
Arica y Parinacota,Arica,2024,34,Homicidios y Femicidios,4,0,
Arica y Parinacota,Arica,2024,34,Robos con Violencia e Intimidación,2,0,
Arica y Parinacota,Arica,2024,34,Violaciones y Delitos Sexuales,11,15,-26.67
Arica y Parinacota,Arica,2024,34,Ley de Control de Armas,45,48,-6.25
Arica y Parinacota,Arica,2024,34,Delitos en Contexto de Violencia Intrafamiliar,12,15,-20
Arica y Parinacota,Arica,2024,34,Consumo de Alcohol y Drogas en la Vía Pública,26,33,-21.21
Arica y Parinacota,Arica,2024,34,Hurtos,3,6,-50
Arica y Parinacota,Arica,2024,34,Daños,21,14,50
Arica y Parinacota,Arica,2024,35,Amenazas y Riñas,36,36,0
Arica y Parinacota,Arica,2024,35,Homicidios y Femicidios,46,44,4.55
Arica y Parinacota,Arica,2024,35,Robos con Violencia e Intimidación,42,41,2.44
Arica y Parinacota,Arica,2024,35,Violaciones y Delitos Sexuales,3,0,
Arica y Parinacota,Arica,2024,35,Ley de Control de Armas,11,17,-35.29
Arica y Parinacota,Arica,2024,35,Delitos en Contexto de Violencia Intrafamiliar,32,29,10.34
Arica y Parinacota,Arica,2024,35,Consumo de Alcohol y Drogas en la Vía Pública,39,44,-11.36
Arica y Parinacota,Arica,2024,35,Hurtos,20,23,-13.04
Arica y Parinacota,Arica,2024,35,Daños,22,22,0
Arica y Parinacota,Arica,2024,36,Amenazas y Riñas,28,30,-6.67
Arica y Parinacota,Arica,2024,36,Homicidios y Femicidios,12,7,71.43
Arica y Parinacota,Arica,2024,36,Robos con Violencia e Intimidación,46,38,21.05
Arica y Parinacota,Arica,2024,36,Violaciones y Delitos Sexuales,1,9,-88.89
Arica y Parinacota,Arica,2024,36,Ley de Control de Armas,17,7,142.86
Arica y Parinacota,Arica,2024,36,Delitos en Contexto de Violencia Intrafamiliar,29,37,-21.62
Arica y Parinacota,Arica,2024,36,Consumo de Alcohol y Drogas en la Vía Pública,12,5,140
Arica y Parinacota,Arica,2024,36,Hurtos,27,23,17.39
Arica y Parinacota,Arica,2024,36,Daños,47,51,-7.84
Arica y Parinacota,Arica,2024,37,Amenazas y Riñas,38,42,-9.52
Arica y Parinacota,Arica,2024,37,Homicidios y Femicidios,5,14,-64.29
Arica y Parinacota,Arica,2024,37,Robos con Violencia e Intimidación,18,19,-5.26
Arica y Parinacota,Arica,2024,37,Violaciones y Delitos Sexuales,23,27,-14.81
Arica y Parinacota,Arica,2024,37,Ley de Control de Armas,22,31,-29.03
Arica y Parinacota,Arica,2024,37,Delitos en Contexto de Violencia Intrafamiliar,19,22,-13.64
Arica y Parinacota,Arica,2024,37,Consumo de Alcohol y Drogas en la Vía Pública,25,20,25
Arica y Parinacota,Arica,2024,37,Hurtos,6,4,50
Arica y Parinacota,Arica,2024,37,Daños,38,42,-9.52
Arica y Parinacota,Arica,2024,38,Amenazas y Riñas,29,32,-9.38
Arica y Parinacota,Arica,2024,38,Homicidios y Femicidios,17,20,-15
Arica y Parinacota,Arica,2024,38,Robos con Violencia e Intimidación,44,44,0
Arica y Parinacota,Arica,2024,38,Violaciones y Delitos Sexuales,34,39,-12.82
Arica y Parinacota,Arica,2024,38,Ley de Control de Armas,44,42,4.76
Arica y Parinacota,Arica,2024,38,Delitos en Contexto de Violencia Intrafamiliar,18,23,-21.74
Arica y Parinacota,Arica,2024,38,Consumo de Alcohol y Drogas en la Vía Pública,22,17,29.41
Arica y Parinacota,Arica,2024,38,Hurtos,34,33,3.03
Arica y Parinacota,Arica,2024,38,Daños,47,53,-11.32
Arica y Parinacota,Arica,2024,39,Amenazas y Riñas,39,29,34.48
Arica y Parinacota,Arica,2024,39,Homicidios y Femicidios,36,39,-7.69
