Region,Comuna,Anio,Mes,Categoria,Frecuencia,Tasa_por_100k,IDI
Arica y Parinacota,Arica,2021,6,Robos con Violencia e Intimidación,216,293.06,130.2
Arica y Parinacota,Arica,2021,6,Violaciones y Delitos Sexuales,72,71.79,55
Arica y Parinacota,Arica,2021,6,Ley de Control de Armas,208,157.3,114.6
Arica y Parinacota,Arica,2021,6,Delitos en Contexto de Violencia Intrafamiliar,7,4.03,126.1
Arica y Parinacota,Arica,2021,6,Consumo de Alcohol y Drogas en la Vía Pública,46,27.36,118.5
Arica y Parinacota,Arica,2021,6,Hurtos,371,553.1,167.6
Arica y Parinacota,Arica,2021,6,Daños,310,170.84,104.4
Arica y Parinacota,Arica,2021,7,Amenazas y Riñas,498,414.73,147.9
Arica y Parinacota,Arica,2021,7,Homicidios y Femicidios,374,609.15,150.5
Arica y Parinacota,Arica,2021,7,Robos con Violencia e Intimidación,36,38.71,147.7
Arica y Parinacota,Arica,2021,7,Violaciones y Delitos Sexuales,342,411.93,152.9
Arica y Parinacota,Arica,2021,7,Ley de Control de Armas,298,155.68,76.7
Arica y Parinacota,Arica,2021,7,Delitos en Contexto de Violencia Intrafamiliar,191,262.68,93.1
Arica y Parinacota,Arica,2021,7,Consumo de Alcohol y Drogas en la Vía Pública,144,121.54,108.2
Arica y Parinacota,Arica,2021,7,Hurtos,307,192.7,73.7
Arica y Parinacota,Arica,2021,7,Daños,453,380.76,139.2
Arica y Parinacota,Arica,2021,8,Amenazas y Riñas,479,262.14,124.5
Arica y Parinacota,Arica,2021,8,Homicidios y Femicidios,385,371.5,72.3
Arica y Parinacota,Arica,2021,8,Robos con Violencia e Intimidación,362,272.51,114.2
Arica y Parinacota,Arica,2021,8,Violaciones y Delitos Sexuales,44,82.56,121.6
Arica y Parinacota,Arica,2021,8,Ley de Control de Armas,291,161.84,70.9
Arica y Parinacota,Arica,2021,8,Delitos en Contexto de Violencia Intrafamiliar,56,32.48,82.6
Arica y Parinacota,Arica,2021,8,Consumo de Alcohol y Drogas en la Vía Pública,347,190,171.1
Arica y Parinacota,Arica,2021,8,Hurtos,302,175.18,167.2
Arica y Parinacota,Arica,2021,8,Daños,377,236.5,70.7
Arica y Parinacota,Arica,2021,9,Amenazas y Riñas,463,310.63,148.1
Arica y Parinacota,Arica,2021,9,Homicidios y Femicidios,248,128.47,135.6
Arica y Parinacota,Arica,2021,9,Robos con Violencia e Intimidación,51,95.81,80.6
Arica y Parinacota,Arica,2021,9,Violaciones y Delitos Sexuales,56,89.39,142.3
Arica y Parinacota,Arica,2021,9,Ley de Control de Armas,305,254.26,150
Arica y Parinacota,Arica,2021,9,Delitos en Contexto de Violencia Intrafamiliar,171,228.18,141.8
Arica y Parinacota,Arica,2021,9,Consumo de Alcohol y Drogas en la Vía Pública,241,130.59,55.1
Arica y Parinacota,Arica,2021,9,Hurtos,268,220.92,168.2
Arica y Parinacota,Arica,2021,9,Daños,260,168.48,186.3
Arica y Parinacota,Arica,2021,10,Amenazas y Riñas,120,104.96,72.8
Arica y Parinacota,Arica,2021,10,Homicidios y Femicidios,269,487.43,123.4
Arica y Parinacota,Arica,2021,10,Robos con Violencia e Intimidación,190,351.98,151.1
Arica y Parinacota,Arica,2021,10,Violaciones y Delitos Sexuales,226,149.63,97.5
Arica y Parinacota,Arica,2021,10,Ley de Control de Armas,11,7.27,151.2
Arica y Parinacota,Arica,2021,10,Delitos en Contexto de Violencia Intrafamiliar,192,285.29,160.7
Arica y Parinacota,Arica,2021,10,Consumo de Alcohol y Drogas en la Vía Pública,223,111.72,155
Arica y Parinacota,Arica,2021,10,Hurtos,205,134.17,73.6
Arica y Parinacota,Arica,2021,10,Daños,466,742.74,179.1
Arica y Parinacota,Arica,2021,11,Amenazas y Riñas,128,70.87,60.3
Arica y Parinacota,Arica,2021,11,Homicidios y Femicidios,155,108.43,73.8
Arica y Parinacota,Arica,2021,11,Robos con Violencia e Intimidación,198,349.14,178.4
Arica y Parinacota,Arica,2021,11,Violaciones y Delitos Sexuales,341,274.75,155.2
Arica y Parinacota,Arica,2021,11,Ley de Control de Armas,31,20.18,164.1
Arica y Parinacota,Arica,2021,11,Delitos en Contexto de Violencia Intrafamiliar,132,204.19,165.8
Arica y Parinacota,Arica,2021,11,Consumo de Alcohol y Drogas en la Vía Pública,258,137.55,128
Arica y Parinacota,Arica,2021,11,Hurtos,63,103.66,99.2
Arica y Parinacota,Arica,2021,11,Daños,392,414.53,177.4
Arica y Parinacota,Arica,2021,12,Amenazas y Riñas,89,50.75,82.1
Arica y Parinacota,Arica,2021,12,Homicidios y Femicidios,272,153.87,124.2
Arica y Parinacota,Arica,2021,12,Robos con Violencia e Intimidación,319,551.43,170.1
Arica y Parinacota,Arica,2021,12,Violaciones y Delitos Sexuales,185,308.88,105.2
Arica y Parinacota,Arica,2021,12,Ley de Control de Armas,319,351.1,76.9
Arica y Parinacota,Arica,2021,12,Delitos en Contexto de Violencia Intrafamiliar,211,154.39,51.6
Arica y Parinacota,Arica,2021,12,Consumo de Alcohol y Drogas en la Vía Pública,70,35.16,152.8
Arica y Parinacota,Arica,2021,12,Hurtos,282,526.77,184.5
Arica y Parinacota,Arica,2021,12,Daños,285,207.84,191.8
Arica y Parinacota,Arica,2022,1,Amenazas y Riñas,146,115.12,112.2
Arica y Parinacota,Arica,2022,1,Homicidios y Femicidios,262,220.83,105.6
Arica y Parinacota,Arica,2022,1,Robos con Violencia e Intimidación,213,212.32,94.6
Arica y Parinacota,Arica,2022,1,Violaciones y Delitos Sexuales,255,226.2,192.7
Arica y Parinacota,Arica,2022,1,Ley de Control de Armas,56,35.4,65.3
Arica y Parinacota,Arica,2022,1,Delitos en Contexto de Violencia Intrafamiliar,359,266.35,135
Arica y Parinacota,Arica,2022,1,Consumo de Alcohol y Drogas en la Vía Pública,382,542.04,113.9
Arica y Parinacota,Arica,2022,1,Hurtos,455,330.34,170.5
Arica y Parinacota,Arica,2022,1,Daños,355,202.36,67.2
Arica y Parinacota,Arica,2022,2,Amenazas y Riñas,492,266,68.2
Arica y Parinacota,Arica,2022,2,Homicidios y Femicidios,173,186.19,107.4
Arica y Parinacota,Arica,2022,2,Robos con Violencia e Intimidación,415,232.61,186.2
Arica y Parinacota,Arica,2022,2,Violaciones y Delitos Sexuales,325,200.3,101.5
Arica y Parinacota,Arica,2022,2,Ley de Control de Armas,374,217.97,107.2
Arica y Parinacota,Arica,2022,2,Delitos en Contexto de Violencia Intrafamiliar,7,5.02,89.7
Arica y Parinacota,Arica,2022,2,Consumo de Alcohol y Drogas en la Vía Pública,231,222.96,79.1
Arica y Parinacota,Arica,2022,2,Hurtos,5,9.43,168
Arica y Parinacota,Arica,2022,2,Daños,413,342.43,52.3
Arica y Parinacota,Arica,2022,3,Amenazas y Riñas,284,213.09,60
Arica y Parinacota,Arica,2022,3,Homicidios y Femicidios,263,147.17,176
Arica y Parinacota,Arica,2022,3,Robos con Violencia e Intimidación,430,573.91,183.2
Arica y Parinacota,Arica,2022,3,Violaciones y Delitos Sexuales,215,156.71,183.1
Arica y Parinacota,Arica,2022,3,Ley de Control de Armas,458,293.24,199.8
Arica y Parinacota,Arica,2022,3,Delitos en Contexto de Violencia Intrafamiliar,422,522.96,123.9
Arica y Parinacota,Arica,2022,3,Consumo de Alcohol y Drogas en la Vía Pública,384,196.42,136.3
Arica y Parinacota,Arica,2022,3,Hurtos,156,115.86,95.5
Arica y Parinacota,Arica,2022,3,Daños,321,205.7,96.6
Arica y Parinacota,Arica,2022,4,Amenazas y Riñas,330,207.36,96.4
Arica y Parinacota,Arica,2022,4,Homicidios y Femicidios,258,165.04,170
Arica y Parinacota,Arica,2022,4,Robos con Violencia e Intimidación,390,592.86,140.7
Arica y Parinacota,Arica,2022,4,Violaciones y Delitos Sexuales,105,204.5,174.7
Arica y Parinacota,Arica,2022,4,Ley de Control de Armas,260,178.87,155.8
Arica y Parinacota,Arica,2022,4,Delitos en Contexto de Violencia Intrafamiliar,29,17.42,108.3
Arica y Parinacota,Arica,2022,4,Consumo de Alcohol y Drogas en la Vía Pública,236,154.64,157.3
Arica y Parinacota,Arica,2022,4,Hurtos,185,343.58,71
Arica y Parinacota,Arica,2022,4,Daños,297,154.41,143.2
Arica y Parinacota,Arica,2022,5,Amenazas y Riñas,422,235.73,132
Arica y Parinacota,Arica,2022,5,Homicidios y Femicidios,263,168.77,192.7
Arica y Parinacota,Arica,2022,5,Robos con Violencia e Intimidación,52,29.71,178.9
Arica y Parinacota,Arica,2022,5,Violaciones y Delitos Sexuales,220,271.78,118
Arica y Parinacota,Arica,2022,5,Ley de Control de Armas,186,103.21,143.6
Arica y Parinacota,Arica,2022,5,Delitos en Contexto de Violencia Intrafamiliar,427,703.16,72.5
Arica y Parinacota,Arica,2022,5,Consumo de Alcohol y Drogas en la Vía Pública,294,154.06,68.4
Arica y Parinacota,Arica,2022,5,Hurtos,24,46.36,123.5
Arica y Parinacota,Arica,2022,5,Daños,247,201.59,61.8
Arica y Parinacota,Arica,2022,6,Amenazas y Riñas,392,410.29,190.3
Arica y Parinacota,Arica,2022,6,Homicidios y Femicidios,293,158.38,125.7
Arica y Parinacota,Arica,2022,6,Robos con Violencia e Intimidación,312,313.64,52
Arica y Parinacota,Arica,2022,6,Violaciones y Delitos Sexuales,223,189.92,74.6
Arica y Parinacota,Arica,2022,6,Ley de Control de Armas,424,414.25,158
Arica y Parinacota,Arica,2022,6,Delitos en Contexto de Violencia Intrafamiliar,413,416.4,98.6
Arica y Parinacota,Arica,2022,6,Consumo de Alcohol y Drogas en la Vía Pública,457,353.06,125.8
Arica y Parinacota,Arica,2022,6,Hurtos,343,390.39,80.2
Arica y Parinacota,Arica,2022,6,Daños,112,93.84,69.7
Arica y Parinacota,Arica,2022,7,Amenazas y Riñas,133,222.27,141.4
Arica y Parinacota,Arica,2022,7,Homicidios y Femicidios,86,67.45,177.7
Arica y Parinacota,Arica,2022,7,Robos con Violencia e Intimidación,391,429.89,170.6
Arica y Parinacota,Arica,2022,7,Violaciones y Delitos Sexuales,400,202.6,192.2
Arica y Parinacota,Arica,2022,7,Ley de Control de Armas,282,260.35,99.5
Arica y Parinacota,Arica,2022,7,Delitos en Contexto de Violencia Intrafamiliar,462,373.4,70.6
Arica y Parinacota,Arica,2022,7,Consumo de Alcohol y Drogas en la Vía Pública,232,412.52,103.7
Arica y Parinacota,Arica,2022,7,Hurtos,484,353.99,131.2
Arica y Parinacota,Arica,2022,7,Daños,49,65.93,116.8
Arica y Parinacota,Arica,2022,8,Amenazas y Riñas,386,437.28,127.2
Arica y Parinacota,Arica,2022,8,Homicidios y Femicidios,39,58.39,66.6
Arica y Parinacota,Arica,2022,8,Robos con Violencia e Intimidación,352,223.85,81.7
Arica y Parinacota,Arica,2022,8,Violaciones y Delitos Sexuales,244,233.53,172.4
Arica y Parinacota,Arica,2022,8,Ley de Control de Armas,446,229.12,85.5
Arica y Parinacota,Arica,2022,8,Delitos en Contexto de Violencia Intrafamiliar,357,209.11,129.4
Arica y Parinacota,Arica,2022,8,Consumo de Alcohol y Drogas en la Vía Pública,131,83.01,185.9
Arica y Parinacota,Arica,2022,8,Hurtos,432,862.62,94.3
Arica y Parinacota,Arica,2022,8,Daños,427,537.54,126.9
Arica y Parinacota,Arica,2022,9,Amenazas y Riñas,394,301.08,128.8
Arica y Parinacota,Arica,2022,9,Homicidios y Femicidios,388,221.06,168.8
Arica y Parinacota,Arica,2022,9,Robos con Violencia e Intimidación,130,167.01,55.1
Arica y Parinacota,Arica,2022,9,Violaciones y Delitos Sexuales,388,539.95,195.8
Arica y Parinacota,Arica,2022,9,Ley de Control de Armas,222,194.45,108.6
Arica y Parinacota,Arica,2022,9,Delitos en Contexto de Violencia Intrafamiliar,112,93.82,170.9
Arica y Parinacota,Arica,2022,9,Consumo de Alcohol y Drogas en la Vía Pública,460,461.21,162.4
Arica y Parinacota,Arica,2022,9,Hurtos,445,327.67,158.8
Arica y Parinacota,Arica,2022,9,Daños,107,193.33,122.2
Arica y Parinacota,Arica,2022,10,Amenazas y Riñas,295,164.92,146.7
Arica y Parinacota,Arica,2022,10,Homicidios y Femicidios,117,97.33,108.1
Arica y Parinacota,Arica,2022,10,Robos con Violencia e Intimidación,43,28.94,103.8
Arica y Parinacota,Arica,2022,10,Violaciones y Delitos Sexuales,369,213.63,105.2
Arica y Parinacota,Arica,2022,10,Ley de Control de Armas,423,802.73,107.4
Arica y Parinacota,Arica,2022,10,Delitos en Contexto de Violencia Intrafamiliar,73,115.25,120.6
Arica y Parinacota,Arica,2022,10,Consumo de Alcohol y Drogas en la Vía Pública,453,337.21,178.4
Arica y Parinacota,Arica,2022,10,Hurtos,263,249.34,121.3
Arica y Parinacota,Arica,2022,10,Daños,257,306.39,165.6
Arica y Parinacota,Arica,2022,11,Amenazas y Riñas,189,161.67,97.8
Arica y Parinacota,Arica,2022,11,Homicidios y Femicidios,173,103.86,51
Arica y Parinacota,Arica,2022,11,Robos con Violencia e Intimidación,486,338.27,185.5
Arica y Parinacota,Arica,2022,11,Violaciones y Delitos Sexuales,438,393.43,110.8
Arica y Parinacota,Arica,2022,11,Ley de Control de Armas,32,16.47,94.6
Arica y Parinacota,Arica,2022,11,Delitos en Contexto de Violencia Intrafamiliar,440,492.14,153.3
Arica y Parinacota,Arica,2022,11,Consumo de Alcohol y Drogas en la Vía Pública,146,172.95,74.3
Arica y Parinacota,Arica,2022,11,Hurtos,215,208.72,66.4
Arica y Parinacota,Arica,2022,11,Daños,85,43.41,165.9
Arica y Parinacota,Arica,2022,12,Amenazas y Riñas,83,49.26,179.4
Arica y Parinacota,Arica,2022,12,Homicidios y Femicidios,471,481.84,60.4
Arica y Parinacota,Arica,2022,12,Robos con Violencia e Intimidación,108,57.37,166.8
Arica y Parinacota,Arica,2022,12,Violaciones y Delitos Sexuales,288,227.32,140.9
Arica y Parinacota,Arica,2022,12,Ley de Control de Armas,458,295.15,89.4
Arica y Parinacota,Arica,2022,12,Delitos en Contexto de Violencia Intrafamiliar,51,73.96,88.6
Arica y Parinacota,Arica,2022,12,Consumo de Alcohol y Drogas en la Vía Pública,212,351.25,109.9
Arica y Parinacota,Arica,2022,12,Hurtos,29,34.97,160
Arica y Parinacota,Arica,2022,12,Daños,486,303.49,59.2
Arica y Parinacota,Arica,2023,1,Amenazas y Riñas,209,129.87,67.1
Arica y Parinacota,Arica,2023,1,Homicidios y Femicidios,242,173.14,93.8
Arica y Parinacota,Arica,2023,1,Robos con Violencia e Intimidación,221,239.81,160
Arica y Parinacota,Arica,2023,1,Violaciones y Delitos Sexuales,370,295.01,156.9
Arica y Parinacota,Arica,2023,1,Ley de Control de Armas,283,193.76,52.4
Arica y Parinacota,Arica,2023,1,Delitos en Contexto de Violencia Intrafamiliar,383,229.52,186.4
Arica y Parinacota,Arica,2023,1,Consumo de Alcohol y Drogas en la Vía Pública,195,143.07,154.4
Arica y Parinacota,Arica,2023,1,Hurtos,385,336.79,73.8
Arica y Parinacota,Arica,2023,1,Daños,221,157.28,50.1
Arica y Parinacota,Arica,2023,2,Amenazas y Riñas,452,233.32,189.6
Arica y Parinacota,Arica,2023,2,Homicidios y Femicidios,211,117.15,169
Arica y Parinacota,Arica,2023,2,Robos con Violencia e Intimidación,240,176.96,90.4
Arica y Parinacota,Arica,2023,2,Violaciones y Delitos Sexuales,290,512.46,170.3
Arica y Parinacota,Arica,2023,2,Ley de Control de Armas,223,207.35,61.7
Arica y Parinacota,Arica,2023,2,Delitos en Contexto de Violencia Intrafamiliar,302,254.37,94.2
Arica y Parinacota,Arica,2023,2,Consumo de Alcohol y Drogas en la Vía Pública,86,49.87,146.6
Arica y Parinacota,Arica,2023,2,Hurtos,175,341.54,111.4
Arica y Parinacota,Arica,2023,2,Daños,248,240.59,64.1
Arica y Parinacota,Arica,2023,3,Amenazas y Riñas,312,441.25,104.3
Arica y Parinacota,Arica,2023,3,Homicidios y Femicidios,110,159.34,102.4
Arica y Parinacota,Arica,2023,3,Robos con Violencia e Intimidación,281,147.49,134.6
Arica y Parinacota,Arica,2023,3,Violaciones y Delitos Sexuales,177,109.45,128.3
Arica y Parinacota,Arica,2023,3,Ley de Control de Armas,263,242.62,193.6
Arica y Parinacota,Arica,2023,3,Delitos en Contexto de Violencia Intrafamiliar,228,158.28,128.2
Arica y Parinacota,Arica,2023,3,Consumo de Alcohol y Drogas en la Vía Pública,180,259.88,132.5
Arica y Parinacota,Arica,2023,3,Hurtos,214,136.46,132
Arica y Parinacota,Arica,2023,3,Daños,6,3,58.5
Arica y Parinacota,Arica,2023,4,Amenazas y Riñas,122,106.97,77.2
Arica y Parinacota,Arica,2023,4,Homicidios y Femicidios,88,71.26,79.7
Arica y Parinacota,Arica,2023,4,Robos con Violencia e Intimidación,146,99.06,143.4
Arica y Parinacota,Arica,2023,4,Violaciones y Delitos Sexuales,491,249.78,57.2
Arica y Parinacota,Arica,2023,4,Ley de Control de Armas,168,101.33,96.1
Arica y Parinacota,Arica,2023,4,Delitos en Contexto de Violencia Intrafamiliar,153,96.81,106.1
Arica y Parinacota,Arica,2023,4,Consumo de Alcohol y Drogas en la Vía Pública,307,195.68,192.4
Arica y Parinacota,Arica,2023,4,Hurtos,126,87.48,74
Arica y Parinacota,Arica,2023,4,Daños,65,86.44,104
Arica y Parinacota,Arica,2023,5,Amenazas y Riñas,174,114.4,95.8
Arica y Parinacota,Arica,2023,5,Homicidios y Femicidios,156,133.96,194.1
Arica y Parinacota,Arica,2023,5,Robos con Violencia e Intimidación,205,377.07,113.6
Arica y Parinacota,Arica,2023,5,Violaciones y Delitos Sexuales,131,220.38,84.9
Arica y Parinacota,Arica,2023,5,Ley de Control de Armas,214,113.57,87.4
Arica y Parinacota,Arica,2023,5,Delitos en Contexto de Violencia Intrafamiliar,318,415.1,84.9
Arica y Parinacota,Arica,2023,5,Consumo de Alcohol y Drogas en la Vía Pública,367,519.51,171.2
Arica y Parinacota,Arica,2023,5,Hurtos,292,200.6,68
Arica y Parinacota,Arica,2023,5,Daños,54,42.87,128.7
Arica y Parinacota,Arica,2023,6,Amenazas y Riñas,38,21.24,79.3
Arica y Parinacota,Arica,2023,6,Homicidios y Femicidios,290,342.86,139.4
Arica y Parinacota,Arica,2023,6,Robos con Violencia e Intimidación,299,209.46,168.1
Arica y Parinacota,Arica,2023,6,Violaciones y Delitos Sexuales,184,276.97,177.2
Arica y Parinacota,Arica,2023,6,Ley de Control de Armas,278,199.07,52.1
Arica y Parinacota,Arica,2023,6,Delitos en Contexto de Violencia Intrafamiliar,307,285.53,98.3
Arica y Parinacota,Arica,2023,6,Consumo de Alcohol y Drogas en la Vía Pública,103,113.04,113.4
Arica y Parinacota,Arica,2023,6,Hurtos,327,214.54,158.7
Arica y Parinacota,Arica,2023,6,Daños,370,290.74,101
Arica y Parinacota,Arica,2023,7,Amenazas y Riñas,209,402.81,183.5
Arica y Parinacota,Arica,2023,7,Homicidios y Femicidios,345,259.8,71.9
Arica y Parinacota,Arica,2023,7,Robos con Violencia e Intimidación,47,32.25,51.9
Arica y Parinacota,Arica,2023,7,Violaciones y Delitos Sexuales,245,390.48,199.4
Arica y Parinacota,Arica,2023,7,Ley de Control de Armas,321,243.31,148
Arica y Parinacota,Arica,2023,7,Delitos en Contexto de Violencia Intrafamiliar,468,490.83,155.1
Arica y Parinacota,Arica,2023,7,Consumo de Alcohol y Drogas en la Vía Pública,484,258.38,166.4
Arica y Parinacota,Arica,2023,7,Hurtos,266,144.71,117.1
Arica y Parinacota,Arica,2023,7,Daños,112,177.47,151.2
Arica y Parinacota,Arica,2023,8,Amenazas y Riñas,132,121.85,163.3
Arica y Parinacota,Arica,2023,8,Homicidios y Femicidios,480,299.02,128.3
Arica y Parinacota,Arica,2023,8,Robos con Violencia e Intimidación,480,248.62,156
Arica y Parinacota,Arica,2023,8,Violaciones y Delitos Sexuales,43,31.81,77.7
Arica y Parinacota,Arica,2023,8,Ley de Control de Armas,422,236.64,124.2
Arica y Parinacota,Arica,2023,8,Delitos en Contexto de Violencia Intrafamiliar,331,193.51,79.1
Arica y Parinacota,Arica,2023,8,Consumo de Alcohol y Drogas en la Vía Pública,123,72.22,180
Arica y Parinacota,Arica,2023,8,Hurtos,272,145.2,116.6
Arica y Parinacota,Arica,2023,8,Daños,347,539.29,186.9
Arica y Parinacota,Arica,2023,9,Amenazas y Riñas,338,218.78,138.4
Arica y Parinacota,Arica,2023,9,Homicidios y Femicidios,140,105.41,113.7
Arica y Parinacota,Arica,2023,9,Robos con Violencia e Intimidación,186,111.29,145.3
Arica y Parinacota,Arica,2023,9,Violaciones y Delitos Sexuales,282,281.49,152.3
Arica y Parinacota,Arica,2023,9,Ley de Control de Armas,186,173.14,196.9
Arica y Parinacota,Arica,2023,9,Delitos en Contexto de Violencia Intrafamiliar,50,25.09,170.6
Arica y Parinacota,Arica,2023,9,Consumo de Alcohol y Drogas en la Vía Pública,369,237.79,152.6
Arica y Parinacota,Arica,2023,9,Hurtos,400,385.46,128.9
Arica y Parinacota,Arica,2023,9,Daños,90,56.27,164
Arica y Parinacota,Arica,2023,10,Amenazas y Riñas,116,109.34,198.6
Arica y Parinacota,Arica,2023,10,Homicidios y Femicidios,283,165.24,55.2
Arica y Parinacota,Arica,2023,10,Robos con Violencia e Intimidación,476,293.06,169.3
Arica y Parinacota,Arica,2023,10,Violaciones y Delitos Sexuales,152,188.53,93.6
Arica y Parinacota,Arica,2023,10,Ley de Control de Armas,262,233.01,178.8
Arica y Parinacota,Arica,2023,10,Delitos en Contexto de Violencia Intrafamiliar,300,296.82,121.7
Arica y Parinacota,Arica,2023,10,Consumo de Alcohol y Drogas en la Vía Pública,363,291.26,176.1
Arica y Parinacota,Arica,2023,10,Hurtos,451,899.45,192.3
Arica y Parinacota,Arica,2023,10,Daños,487,397.81,69.8
Arica y Parinacota,Arica,2023,11,Amenazas y Riñas,233,127.42,93.9
Arica y Parinacota,Arica,2023,11,Homicidios y Femicidios,401,324.19,173.9
Arica y Parinacota,Arica,2023,11,Robos con Violencia e Intimidación,397,595.76,81.1
Arica y Parinacota,Arica,2023,11,Violaciones y Delitos Sexuales,267,302.79,109.7
Arica y Parinacota,Arica,2023,11,Ley de Control de Armas,467,648.02,119.1
Arica y Parinacota,Arica,2023,11,Delitos en Contexto de Violencia Intrafamiliar,62,55.91,89.2
Arica y Parinacota,Arica,2023,11,Consumo de Alcohol y Drogas en la Vía Pública,194,109.08,60.4
Arica y Parinacota,Arica,2023,11,Hurtos,36,29.83,85.8
Arica y Parinacota,Arica,2023,11,Daños,261,151.94,163.2
Arica y Parinacota,Arica,2023,12,Amenazas y Riñas,252,150.25,177.5
Arica y Parinacota,Arica,2023,12,Homicidios y Femicidios,481,282.02,175
Arica y Parinacota,Arica,2023,12,Robos con Violencia e Intimidación,227,189.82,182
Arica y Parinacota,Arica,2023,12,Violaciones y Delitos Sexuales,142,89.26,89.8
Arica y Parinacota,Arica,2023,12,Ley de Control de Armas,271,220.09,130.7
Arica y Parinacota,Arica,2023,12,Delitos en Contexto de Violencia Intrafamiliar,374,213.32,199.8
Arica y Parinacota,Arica,2023,12,Consumo de Alcohol y Drogas en la Vía Pública,397,340.4,70.1
Arica y Parinacota,Arica,2023,12,Hurtos,58,47.13,90.4
Arica y Parinacota,Arica,2023,12,Daños,170,120.21,107
Arica y Parinacota,Arica,2024,1,Amenazas y Riñas,405,571.05,116.6
Arica y Parinacota,Arica,2024,1,Homicidios y Femicidios,107,142.07,68.2
Arica y Parinacota,Arica,2024,1,Robos con Violencia e Intimidación,468,296.86,113.9
Arica y Parinacota,Arica,2024,1,Violaciones y Delitos Sexuales,296,244.54,168.9
